Vinales,Zarco,Bagnaia
Quartararo,Zarco,Martin
Quartararo,Bagnaia,Mir
Miller,Bagnaia,Morbidelli
Miller,Zarco,Quartararo
Quartararo,Oliveira,Mir
Oliveira,Zarco,Miller
Marquez,Oliveira,Quartararo
